learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.052016623,5.834841410732931E-11,10000.0,73.32,43.12352066259818,44.966996699669956,35.00609013398294,10000.0,4336.0
20000.0,0.079159687,8.879550288534826E-11,20000.0,73.7,44.13786528459639,46.029140160065666,36.52709062386871,20000.0,4336.0
30000.0,0.100998941,1.1329316849095953E-10,30000.0,73.69333333333333,44.3284152095334,46.26906318082789,36.995050295385596,30000.0,4336.0
40000.0,0.12218597,1.3705921615991327E-10,40000.0,73.5625,44.198384678585036,46.04867098617417,37.064809855382954,40000.0,4336.0
50000.0,0.143352824,1.608026330007447E-10,50000.0,73.592,44.26730483849902,45.9959100204499,37.21648994341686,50000.0,4336.0
60000.0,0.163941493,1.8389748452024328E-10,60000.0,73.63166666666666,44.41529795744869,46.10090961741558,37.505925106651915,60000.0,4336.0
70000.0,0.178835317,2.0060427862322994E-10,70000.0,73.66,44.49901534323014,46.167995095033724,37.59138911454104,70000.0,4336.0
80000.0,0.19157452,2.1489417768186994E-10,80000.0,73.58624999999999,44.37578672915882,45.81517000871839,37.45819397993311,80000.0,4336.0
90000.0,0.20421872,2.290775093767378E-10,90000.0,73.58777777777777,44.37631344429279,45.89260920037329,37.41838668913226,90000.0,4336.0
100000.0,0.217126505,2.4355651129864983E-10,100000.0,73.583,44.3900734750759,45.89562937779052,37.48343430518743,100000.0,4336.0
110000.0,0.230007711,2.580056988572081E-10,110000.0,73.54545454545455,44.2754393899883,45.776734305998104,37.32500538444971,110000.0,4336.0
120000.0,0.242898873,2.724660543228189E-10,120000.0,73.60583333333334,44.38985234425128,45.92375066159022,37.43234166962981,120000.0,4336.0
130000.0,0.255777504,2.869123534361521E-10,130000.0,73.58846153846153,44.33790277348821,45.903576492831256,37.362035939067766,130000.0,4336.0
140000.0,0.268526353,3.012130726666914E-10,140000.0,73.63642857142857,44.43282416099958,46.005529792120775,37.44025221193938,140000.0,4336.0
150000.0,0.281062327,3.1527500441090927E-10,150000.0,73.64133333333334,44.45324862165683,46.03352260318847,37.47548864570815,150000.0,4336.0
160000.0,0.293646899,3.2939144980990225E-10,160000.0,73.614375,44.37164636189483,45.99887436363171,37.336539460598765,160000.0,4336.0
170000.0,0.305652771,3.4285875219851735E-10,170000.0,73.61117647058823,44.36226492911206,45.97598718674358,37.320460515285305,170000.0,4336.0
