learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.335958931,1.5449622121991384E-8,10000.0,80.34,59.36495905244541,59.547325102880656,53.45643939393939,10000.0,177760.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.445966666,2.108861801380085E-8,20000.0,84.08,67.16155394373287,67.44043358216587,62.43067846607669,20000.0,198144.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.529043516,2.5604525565583676E-8,30000.0,85.66,70.39862632745167,70.54433413214653,65.93824228028504,30000.0,210120.0,71.0,51.0,51.0,4.0,0.0,0.0,1.0
40000.0,0.620134913,3.2432273066911023E-8,40000.0,86.495,72.12169420293596,72.34282203563383,67.82608695652173,40000.0,289736.0,101.0,69.0,69.0,4.0,0.0,0.0,1.0
50000.0,0.68293605,3.74083120536142E-8,50000.0,87.17,73.52267156021078,73.89411142310666,69.39992367868729,50000.0,306280.0,107.0,72.0,72.0,4.0,0.0,0.0,1.0
60000.0,0.749872087,4.30055268661264E-8,60000.0,87.67,74.57180076544631,74.84871149792617,70.62187276626162,60000.0,323232.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.81823159,4.939067669231032E-8,70000.0,88.10857142857142,75.48575033256864,75.75086666472455,71.68033205184908,70000.0,361056.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.862031153,5.3552590335630305E-8,80000.0,88.45625,76.19049503575431,76.40822582705327,72.44352937665981,80000.0,367304.0,129.0,86.0,86.0,5.0,0.0,0.0,1.0
90000.0,0.910843181,5.877551078741543E-8,90000.0,88.70555555555556,76.71171925792528,76.9333756921122,73.05500331345263,90000.0,413608.0,153.0,98.0,98.0,6.0,0.0,0.0,1.0
100000.0,0.95264606,6.364226594592549E-8,100000.0,88.984,77.3019753771458,77.47930082796687,73.78703152885187,100000.0,450024.0,169.0,106.0,106.0,6.0,0.0,0.0,1.0
110000.0,0.987770142,6.782487584120284E-8,110000.0,89.2090909090909,77.78018810540233,77.95933525206571,74.39105952406635,110000.0,460304.0,173.0,108.0,108.0,6.0,0.0,0.0,1.0
120000.0,1.029572904,7.303162225353221E-8,120000.0,89.42,78.20876795160551,78.36474557786033,74.87284026362143,120000.0,481464.0,183.0,113.0,113.0,6.0,0.0,0.0,1.0
130000.0,1.0765259,7.911696150110828E-8,130000.0,89.61692307692307,78.60790567658802,78.7617024624341,75.30371779859483,130000.0,500984.0,195.0,119.0,119.0,6.0,0.0,0.0,1.0
140000.0,1.127687714,8.639738740855621E-8,140000.0,89.74499999999999,78.87863726762458,79.03873388521454,75.63223463118231,140000.0,550064.0,212.0,129.0,129.0,6.0,0.0,0.0,1.0
150000.0,1.164478859,9.176730791972742E-8,150000.0,89.93133333333333,79.2644216156808,79.41949989779927,76.0771082810619,150000.0,564192.0,218.0,132.0,132.0,6.0,0.0,0.0,1.0
160000.0,1.20469881,9.799994428178502E-8,160000.0,90.090625,79.59367080768833,79.74759538620717,76.45110503802282,160000.0,599008.0,238.0,142.0,142.0,6.0,0.0,0.0,1.0
170000.0,1.242764077,1.040935058011011E-7,170000.0,90.25764705882354,79.93997285852409,80.0980557091014,76.84640225916037,170000.0,618792.0,252.0,152.0,152.0,6.0,0.0,0.0,1.0
180000.0,1.291735752,1.1291245249041666E-7,180000.0,90.42,80.26841451575713,80.41077838869451,77.1971119515485,180000.0,696104.0,274.0,166.0,166.0,6.0,0.0,0.0,1.0
190000.0,1.342251807,1.2252065186870595E-7,190000.0,90.54684210526315,80.5428269608213,80.67026119523456,77.54145097156577,190000.0,735216.0,291.0,179.0,179.0,6.0,0.0,0.0,1.0
200000.0,1.380956524,1.301246371689087E-7,200000.0,90.6895,80.83843614974762,80.94629025161416,77.87560149705935,200000.0,759416.0,297.0,182.0,182.0,6.0,0.0,0.0,1.0
210000.0,1.425323255,1.3930230194013152E-7,210000.0,90.8295238095238,81.1282882244038,81.24117240237284,78.20359010344748,210000.0,799608.0,314.0,192.0,192.0,6.0,0.0,0.0,1.0
220000.0,1.463064478,1.4717237589979958E-7,220000.0,90.94681818181817,81.37252163063349,81.46290160455678,78.48787600583248,220000.0,806056.0,314.0,192.0,192.0,6.0,0.0,0.0,1.0
230000.0,1.512398067,1.5769705712627205E-7,230000.0,91.06260869565217,81.61546135335688,81.70962833779707,78.77915079438817,230000.0,824648.0,324.0,197.0,197.0,6.0,0.0,0.0,1.0
240000.0,1.571528613,1.7111397272274726E-7,240000.0,91.17583333333333,81.8506248682541,81.92741267931355,79.0486931402228,240000.0,877088.0,343.0,211.0,211.0,6.0,0.0,0.0,1.0
250000.0,1.622620221,1.8308622008528145E-7,250000.0,91.2724,82.05046037364895,82.12685436241061,79.2734941246877,250000.0,905792.0,353.0,219.0,219.0,6.0,0.0,0.0,1.0
260000.0,1.672703424,1.9507611745856288E-7,260000.0,91.3723076923077,82.2556098585403,82.32963362663159,79.50123822317259,260000.0,925392.0,357.0,221.0,221.0,6.0,0.0,0.0,1.0
270000.0,1.71386112,2.0505446717284205E-7,270000.0,91.4762962962963,82.47594391022565,82.54584616318049,79.7712909492041,270000.0,937152.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
280000.0,1.760430259,2.1676480034875373E-7,280000.0,91.55714285714286,82.64712303477515,82.71512864945491,79.97899657847488,280000.0,972016.0,375.0,233.0,233.0,6.0,0.0,0.0,1.0
290000.0,1.802435655,2.275314776667042E-7,290000.0,91.64689655172413,82.8338872362012,82.90014259293247,80.19474945017208,290000.0,990784.0,382.0,238.0,238.0,6.0,0.0,0.0,1.0
300000.0,1.848547994,2.396691059534438E-7,300000.0,91.73733333333334,83.02215279402843,83.08794432694276,80.41619921942896,300000.0,1017464.0,399.0,248.0,248.0,6.0,0.0,0.0,1.0
310000.0,1.898117378,2.53055442152638E-7,310000.0,91.8225806451613,83.1965871754476,83.25848632941486,80.61170639928412,310000.0,1043880.0,405.0,251.0,251.0,6.0,0.0,0.0,1.0
320000.0,1.946191137,2.6635228125399184E-7,320000.0,91.9009375,83.35682854413601,83.41449991360719,80.79041188286132,320000.0,1069160.0,426.0,266.0,266.0,6.0,0.0,0.0,1.0
330000.0,1.998983202,2.8182354015449266E-7,330000.0,91.97727272727273,83.51583038534433,83.57711776090517,80.97486310524728,330000.0,1132816.0,447.0,281.0,281.0,6.0,0.0,0.0,1.0
340000.0,2.045011371,2.957922997761352E-7,340000.0,92.05264705882354,83.66827384281304,83.72601452679508,81.13875277463669,340000.0,1173104.0,453.0,284.0,284.0,6.0,0.0,0.0,1.0
350000.0,2.092196881,3.103991064497621E-7,350000.0,92.12685714285715,83.8198137220487,83.87132647745696,81.30808156177505,350000.0,1196600.0,459.0,287.0,287.0,6.0,0.0,0.0,1.0
360000.0,2.143187828,3.2666694515539125E-7,360000.0,92.1925,83.95402920423774,84.00621383089502,81.45866179390597,360000.0,1233216.0,473.0,297.0,297.0,6.0,0.0,0.0,1.0
370000.0,2.188907661,3.414533402201409E-7,370000.0,92.24297297297296,84.05831414723187,84.10286803070754,81.57783255025802,370000.0,1250144.0,479.0,300.0,300.0,7.0,0.0,0.0,1.0
380000.0,2.233993326,3.561355979497234E-7,380000.0,92.31421052631579,84.20414027693809,84.24873260705425,81.74305503463106,380000.0,1258800.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
390000.0,2.286320419,3.7319326365899915E-7,390000.0,92.38871794871795,84.3583500396457,84.4039300162875,81.92457816505605,390000.0,1260072.0,481.0,301.0,301.0,7.0,0.0,0.0,1.0
400000.0,2.345063666,3.9246551131470333E-7,400000.0,92.4615,84.51048945175036,84.56032196290872,82.10699959649664,400000.0,1268168.0,485.0,303.0,303.0,7.0,0.0,0.0,1.0
410000.0,2.413505518,4.1542036263681116E-7,410000.0,92.52390243902438,84.63896051730484,84.6859449629289,82.2547963921405,410000.0,1296448.0,500.0,312.0,312.0,7.0,0.0,0.0,1.0
420000.0,2.47669558,4.368927560471288E-7,420000.0,92.58047619047619,84.754660649276,84.79791204234456,82.38290414676202,420000.0,1313512.0,508.0,316.0,316.0,7.0,0.0,0.0,1.0
430000.0,2.548109224,4.6182171144942854E-7,430000.0,92.64348837209302,84.88596263843226,84.92546844322449,82.54076011965867,430000.0,1349352.0,522.0,326.0,326.0,7.0,0.0,0.0,1.0
440000.0,2.622378712,4.883029291160942E-7,440000.0,92.69545454545455,84.99448813316242,85.03111144230412,82.66796809698172,440000.0,1378256.0,539.0,336.0,336.0,7.0,0.0,0.0,1.0
450000.0,2.681302689,5.097935840672668E-7,450000.0,92.74888888888889,85.1042425200751,85.14346594789515,82.79262556162593,450000.0,1409808.0,550.0,343.0,343.0,7.0,0.0,0.0,1.0
460000.0,2.741484328,5.32590883228667E-7,460000.0,92.79152173913043,85.19256602809183,85.23352749425533,82.89415309059768,460000.0,1464272.0,569.0,354.0,354.0,7.0,0.0,0.0,1.0
470000.0,2.808417497,5.584063139295929E-7,470000.0,92.83808510638298,85.2879085058927,85.32298502256427,83.00327200016159,470000.0,1490872.0,591.0,368.0,368.0,7.0,0.0,0.0,1.0
480000.0,2.86217661,5.797532460323017E-7,480000.0,92.88458333333334,85.38282588711071,85.41268926046939,83.1094714353537,480000.0,1534920.0,595.0,370.0,370.0,7.0,0.0,0.0,1.0
490000.0,2.91644517,6.013988377070468E-7,490000.0,92.93959183673469,85.49620421047318,85.52196020171161,83.24072683586124,490000.0,1541784.0,607.0,379.0,379.0,7.0,0.0,0.0,1.0
500000.0,2.973989564,6.248907655196885E-7,500000.0,92.9868,85.59348484161367,85.62073278248211,83.35374595307947,500000.0,1578040.0,622.0,388.0,388.0,7.0,0.0,0.0,1.0
510000.0,3.031607656,6.491648689536254E-7,510000.0,93.02470588235295,85.67126311268444,85.69676695629099,83.44032063605853,510000.0,1628496.0,635.0,396.0,396.0,7.0,0.0,0.0,1.0
520000.0,3.094210282,6.762770410715665E-7,520000.0,93.06442307692308,85.75369249241189,85.78074792516806,83.53782671012151,520000.0,1674072.0,645.0,404.0,404.0,7.0,0.0,0.0,1.0
530000.0,3.1467622,6.99066216868187E-7,530000.0,93.11132075471698,85.85043410070844,85.87888562709584,83.65023779029673,530000.0,1676264.0,652.0,409.0,409.0,7.0,0.0,0.0,1.0
540000.0,3.20432679,7.242003398034142E-7,540000.0,93.1511111111111,85.93263129474701,85.95857125501153,83.74558303886926,540000.0,1687760.0,670.0,421.0,421.0,7.0,0.0,0.0,1.0
550000.0,3.266523995,7.526180255179127E-7,550000.0,93.19527272727272,86.02476914012065,86.04918161113201,83.85592580610374,550000.0,1766120.0,684.0,431.0,431.0,7.0,0.0,0.0,1.0
560000.0,3.321458597,7.780133960814794E-7,560000.0,93.23392857142856,86.10484227781168,86.12799297063776,83.9486560335515,560000.0,1786944.0,692.0,435.0,435.0,7.0,0.0,0.0,1.0
570000.0,3.380252809,8.057308307027009E-7,570000.0,93.27859649122807,86.19635736539072,86.21617634889854,84.05367607884924,570000.0,1822304.0,706.0,445.0,445.0,7.0,0.0,0.0,1.0
580000.0,3.439120377,8.3389768783399E-7,580000.0,93.32189655172414,86.28336375741144,86.30592727465573,84.14810328104345,580000.0,1849544.0,719.0,453.0,453.0,7.0,0.0,0.0,1.0
590000.0,3.499870742,8.63406355243203E-7,590000.0,93.36254237288135,86.36706713560214,86.3943994719105,84.24402628074368,590000.0,1877600.0,730.0,460.0,460.0,7.0,0.0,0.0,1.0
600000.0,3.558721952,8.92406771542345E-7,600000.0,93.401,86.4466851666265,86.46997314087712,84.33725884228474,600000.0,1904808.0,741.0,467.0,467.0,7.0,0.0,0.0,1.0
610000.0,3.620180142,9.230866537751691E-7,610000.0,93.44098360655738,86.5299107444458,86.5563668253739,84.43547979257681,610000.0,1929640.0,753.0,476.0,476.0,7.0,0.0,0.0,1.0
620000.0,3.683772221,9.55426519779631E-7,620000.0,93.4782258064516,86.60621757594818,86.63376482566211,84.52219181228348,620000.0,1965792.0,763.0,481.0,481.0,8.0,0.0,0.0,1.0
630000.0,3.745087227,9.8719464445866E-7,630000.0,93.51666666666667,86.68558794243022,86.71283856318436,84.61390681327623,630000.0,2002752.0,772.0,487.0,487.0,8.0,0.0,0.0,1.0
640000.0,3.803833306,1.0177916530062214E-6,640000.0,93.55125,86.75728502636564,86.78915527671968,84.69741125521864,640000.0,2013272.0,778.0,490.0,490.0,8.0,0.0,0.0,1.0
650000.0,3.865695373,1.0504166640693837E-6,650000.0,93.58815384615384,86.83321482401544,86.86449091510787,84.78525143743725,650000.0,2038584.0,790.0,499.0,499.0,8.0,0.0,0.0,1.0
660000.0,3.925663231,1.0823817692784486E-6,660000.0,93.61924242424242,86.89710106190749,86.92605723439527,84.85732161606282,660000.0,2060440.0,792.0,500.0,500.0,8.0,0.0,0.0,1.0
670000.0,3.985562616,1.1144994271919646E-6,670000.0,93.65447761194031,86.96987636983697,87.00045864546706,84.94111396440273,670000.0,2072640.0,794.0,501.0,501.0,8.0,0.0,0.0,1.0
680000.0,4.041376736,1.1443765755446107E-6,680000.0,93.68691176470588,87.03577168296471,87.0636166667169,85.01375429385317,680000.0,2069176.0,798.0,503.0,503.0,8.0,0.0,0.0,1.0
690000.0,4.099537219,1.1759026109937947E-6,690000.0,93.7163768115942,87.0972787008644,87.12395241234712,85.08772231527755,690000.0,2095288.0,812.0,513.0,513.0,8.0,0.0,0.0,1.0
700000.0,4.162140647,1.2106909149503E-6,700000.0,93.74642857142858,87.15905630585678,87.18264041999363,85.15784726907782,700000.0,2148016.0,840.0,533.0,533.0,8.0,0.0,0.0,1.0
710000.0,4.224530593,1.246207116089765E-6,710000.0,93.77535211267606,87.21806507991782,87.24070732587514,85.22405475073637,710000.0,2200464.0,865.0,550.0,550.0,8.0,0.0,0.0,1.0
720000.0,4.284970913,1.2814914600821043E-6,720000.0,93.80777777777777,87.28492386618727,87.30675716457598,85.30045960791554,720000.0,2256616.0,881.0,561.0,561.0,8.0,0.0,0.0,1.0
730000.0,4.343453826,1.316091942659943E-6,730000.0,93.8358904109589,87.34291436502004,87.3660389648676,85.36731302659689,730000.0,2286944.0,890.0,567.0,567.0,8.0,0.0,0.0,1.0
740000.0,4.405707793,1.3536463081252075E-6,740000.0,93.86351351351352,87.39961858679285,87.42091325111637,85.4316916048559,740000.0,2331824.0,900.0,572.0,572.0,8.0,0.0,0.0,1.0
750000.0,4.470927177,1.393964089316179E-6,750000.0,93.88866666666667,87.4516244522147,87.4716413830805,85.49208529710602,750000.0,2389584.0,925.0,589.0,589.0,8.0,0.0,0.0,1.0
760000.0,4.535990428,1.4349889737925384E-6,760000.0,93.9167105263158,87.50859269871782,87.52805533375057,85.55575342337362,760000.0,2437328.0,958.0,613.0,613.0,8.0,0.0,0.0,1.0
770000.0,4.604139406,1.479275868390111E-6,770000.0,93.94441558441558,87.56542441383593,87.58516759278243,85.62053609976932,770000.0,2511992.0,965.0,618.0,618.0,8.0,0.0,0.0,1.0
780000.0,4.671597693,1.5239890029624948E-6,780000.0,93.9676923076923,87.61411535823137,87.63221532961833,85.67858697339466,780000.0,2562136.0,983.0,630.0,630.0,8.0,0.0,0.0,1.0
790000.0,4.740510569,1.570001012514169E-6,790000.0,93.99556962025316,87.67170380857571,87.68839851850697,85.74596659084148,790000.0,2580912.0,994.0,637.0,637.0,8.0,0.0,0.0,1.0
800000.0,4.805735242,1.613982704663924E-6,800000.0,94.024,87.73052978163061,87.74694237413243,85.8155860030975,800000.0,2606528.0,1002.0,641.0,641.0,8.0,0.0,0.0,1.0
810000.0,4.874134431,1.6611526875563085E-6,810000.0,94.05012345679012,87.7844566578006,87.80062422004137,85.87854032735393,810000.0,2665736.0,1027.0,658.0,658.0,8.0,0.0,0.0,1.0
820000.0,4.939853923,1.7070762643063352E-6,820000.0,94.07926829268293,87.84468667530665,87.86371362863714,85.94952827458471,820000.0,2701120.0,1033.0,661.0,661.0,8.0,0.0,0.0,1.0
830000.0,5.003334224,1.7516636038356455E-6,830000.0,94.10493975903614,87.8975208575105,87.91581151935905,86.00997306585998,830000.0,2715032.0,1044.0,668.0,668.0,8.0,0.0,0.0,1.0
840000.0,5.070242367,1.7989917606795409E-6,840000.0,94.13547619047618,87.9606926180234,87.98156565102089,86.0842987206323,840000.0,2734280.0,1055.0,675.0,675.0,8.0,0.0,0.0,1.0
850000.0,5.134449474,1.8448294894794391E-6,850000.0,94.16141176470589,88.01408212378419,88.03542024778744,86.14625322420359,850000.0,2759576.0,1064.0,681.0,681.0,8.0,0.0,0.0,1.0
860000.0,5.206599434,1.8971280162566006E-6,860000.0,94.18744186046511,88.06732958149588,88.09007021397751,86.20663013305519,860000.0,2801920.0,1070.0,684.0,684.0,8.0,0.0,0.0,1.0
870000.0,5.269921258,1.9431816390533346E-6,870000.0,94.21367816091954,88.12106072992042,88.14515654252376,86.26870149884758,870000.0,2811336.0,1072.0,685.0,685.0,8.0,0.0,0.0,1.0
880000.0,5.334372109,1.9901900517542448E-6,880000.0,94.24034090909092,88.17532551967264,88.19703511198671,86.32946830977369,880000.0,2819352.0,1074.0,686.0,686.0,8.0,0.0,0.0,1.0
890000.0,5.397873822,2.0366436622008488E-6,890000.0,94.27112359550561,88.23890195168528,88.2596071261631,86.40379297563524,890000.0,2827720.0,1080.0,689.0,689.0,8.0,0.0,0.0,1.0
900000.0,5.461244319,2.08320902846684E-6,900000.0,94.295,88.28887763253294,88.30926652003441,86.46379272163578,900000.0,2840392.0,1086.0,692.0,692.0,8.0,0.0,0.0,1.0
