learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.267888905,1.2403028486824284E-8,10000.0,82.38,63.62774629093839,64.20881576274628,58.43359282849728,10000.0,178968.0,53.0,42.0,42.0,3.0,0.0,0.0,1.0
20000.0,0.355972129,1.700421850614043E-8,20000.0,84.89999999999999,68.79759271154747,69.149044846256,64.22224854875014,20000.0,201920.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.417086003,2.041694566562565E-8,30000.0,86.09666666666666,71.30173776291696,71.36482218865852,66.96760909162906,30000.0,215856.0,69.0,50.0,50.0,4.0,0.0,0.0,1.0
40000.0,0.487990846,2.557870345874793E-8,40000.0,86.815,72.807229779045,72.83123840923139,68.7299893276414,40000.0,281400.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.536900942,2.9240098990342684E-8,50000.0,87.402,74.0542171053812,74.18548420146716,70.18789341663117,50000.0,289368.0,99.0,68.0,68.0,4.0,0.0,0.0,1.0
60000.0,0.596353248,3.413055941669477E-8,60000.0,87.73666666666666,74.77371174329075,74.97193782101431,71.06567046795122,60000.0,317968.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.646818605,3.854914154079639E-8,70000.0,88.11714285714287,75.54165213711033,75.67409487044512,71.86538136309827,70000.0,338448.0,130.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.695902723,4.3529944469324414E-8,80000.0,88.4575,76.24240221268293,76.32853956779205,72.63107975932897,80000.0,392248.0,143.0,93.0,93.0,5.0,0.0,0.0,1.0
90000.0,0.744772426,4.8990649114410496E-8,90000.0,88.68111111111111,76.71319836116876,76.81822319315492,73.18363693798041,90000.0,431928.0,161.0,102.0,102.0,6.0,0.0,0.0,1.0
100000.0,0.794907953,5.518319583903584E-8,100000.0,88.97800000000001,77.32352688739233,77.44259342638452,73.8914155770324,100000.0,477448.0,180.0,113.0,113.0,6.0,0.0,0.0,1.0
110000.0,0.839166364,6.089310674196936E-8,110000.0,89.27000000000001,77.91212027807346,77.97742326709583,74.54165048962513,110000.0,498696.0,192.0,119.0,119.0,6.0,0.0,0.0,1.0
