learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.055698068,6.247798778944546E-11,10000.0,74.00999999999999,45.78251374045082,47.20698760918138,38.890195156360214,10000.0,4336.0
20000.0,0.083140723,9.32611356717017E-11,20000.0,74.2,45.93707930980174,47.42205013246383,38.76824492702029,20000.0,4336.0
30000.0,0.105232476,1.1804203604658446E-10,30000.0,73.74000000000001,44.89064713182426,46.30954814966265,37.75776250296281,30000.0,4336.0
40000.0,0.126675226,1.4209493268695142E-10,40000.0,73.66,44.55809146976142,46.09914564894869,37.386343376716,40000.0,4336.0
50000.0,0.148066932,1.6609057193001112E-10,50000.0,73.774,44.80850246548117,46.53647001263912,37.80001897353191,50000.0,4336.0
60000.0,0.168540002,1.8905575301084254E-10,60000.0,73.8,44.88229232517289,46.61595408700377,37.89261585871754,60000.0,4336.0
70000.0,0.183694951,2.0605545789417293E-10,70000.0,73.74857142857142,44.799432071674154,46.4553162970949,37.895839670147694,70000.0,4336.0
80000.0,0.197205973,2.2121112662471003E-10,80000.0,73.72999999999999,44.72688561271912,46.36586361780318,37.75619002487856,80000.0,4336.0
90000.0,0.209920428,2.3547326520085334E-10,90000.0,73.80555555555556,44.87151965660629,46.43141175668614,37.92622238605545,90000.0,4336.0
100000.0,0.222816774,2.4993943569560847E-10,100000.0,73.788,44.82211880669905,46.234000656383316,37.83027370618092,100000.0,4336.0
110000.0,0.235868353,2.645797351292438E-10,110000.0,73.80727272727273,44.86040872402103,46.27132867132869,37.86365891004767,110000.0,4336.0
120000.0,0.24841649,2.786553104304605E-10,120000.0,73.745,44.72886769967099,46.10397386112871,37.72902460717464,120000.0,4336.0
130000.0,0.261086179,2.928672338070141E-10,130000.0,73.74923076923076,44.75564358754851,46.2243933186259,37.839708561020025,130000.0,4336.0
140000.0,0.27415138,3.075228133963214E-10,140000.0,73.8,44.8669369105213,46.29811282081314,37.96194503171248,140000.0,4336.0
150000.0,0.286389512,3.212506479356024E-10,150000.0,73.804,44.889713501482866,46.2954610685145,38.01914917109642,150000.0,4336.0
160000.0,0.298793762,3.351648214045498E-10,160000.0,73.80250000000001,44.904639142490325,46.35919223976863,38.07926964383319,160000.0,4336.0
170000.0,0.31082599,3.4866168801155355E-10,170000.0,73.76823529411764,44.82453708826446,46.256748939452365,37.96221585376033,170000.0,4336.0
180000.0,0.323166276,3.62504111379385E-10,180000.0,73.74444444444444,44.77301598685555,46.22150912049523,37.911373280607485,180000.0,4336.0
190000.0,0.335968246,3.768644178327587E-10,190000.0,73.75894736842106,44.8169724213516,46.25980857118221,38.00452612469227,190000.0,4336.0
200000.0,0.348094893,3.904671967153748E-10,200000.0,73.747,44.77405254744881,46.295860651126624,37.92222839644836,200000.0,4336.0
210000.0,0.36002854,4.038534824219015E-10,210000.0,73.77,44.81158637716827,46.301351166916895,37.95562063527822,210000.0,4336.0
220000.0,0.371936558,4.1721101940506037E-10,220000.0,73.8009090909091,44.87026735646862,46.39322916666667,38.02032367331579,220000.0,4336.0
230000.0,0.383837049,4.305601131543517E-10,230000.0,73.79782608695652,44.86934761859164,46.37200113903324,38.030211107569215,230000.0,4336.0
240000.0,0.395738787,4.439106056963404E-10,240000.0,73.76458333333333,44.79969381727539,46.25450262048245,37.96307243635218,240000.0,4336.0
250000.0,0.407807327,4.574482044287854E-10,250000.0,73.7496,44.76898378242506,46.22714944732596,37.93527397908038,250000.0,4336.0
260000.0,0.419737076,4.708301176461909E-10,260000.0,73.76769230769231,44.80906611262302,46.31085921202819,37.99410887668644,260000.0,4336.0
270000.0,0.431719737,4.842713836456339E-10,270000.0,73.76,44.80403623532081,46.336216691157546,38.017917133258685,270000.0,4336.0
280000.0,0.443638938,4.976414648940166E-10,280000.0,73.80607142857143,44.8855277093204,46.41842184086908,38.06013005658306,280000.0,4336.0
290000.0,0.455738154,5.112134737024705E-10,290000.0,73.79137931034482,44.8527074270413,46.38095238095239,38.018854076623235,290000.0,4336.0
300000.0,0.467977228,5.249423649079271E-10,300000.0,73.785,44.838718682799815,46.35109692206941,37.986910581927134,300000.0,4336.0
310000.0,0.480304498,5.387701878862249E-10,310000.0,73.77483870967741,44.80020314116088,46.33122305767719,37.9181843867647,310000.0,4336.0
320000.0,0.494722025,5.549427071172331E-10,320000.0,73.776875,44.80100109854671,46.31496788392149,37.912307441881104,320000.0,4336.0
330000.0,0.509122241,5.71095808144245E-10,330000.0,73.78575757575757,44.81851829773799,46.33028092118324,37.92551664753156,330000.0,4336.0
340000.0,0.523794029,5.87553538626267E-10,340000.0,73.75617647058823,44.75156865849653,46.26927685813557,37.840737309211484,340000.0,4336.0
350000.0,0.538494175,6.040430790227322E-10,350000.0,73.77514285714287,44.79280348406388,46.3004674510171,37.89573395581718,350000.0,4336.0
360000.0,0.553169944,6.205052750971584E-10,360000.0,73.78777777777778,44.81120214269624,46.333168404110715,37.90493988826521,360000.0,4336.0
370000.0,0.567674166,6.367750423898301E-10,370000.0,73.78702702702704,44.81947291573187,46.346401721553164,37.93403555475919,370000.0,4336.0
380000.0,0.580746829,6.514389923007954E-10,380000.0,73.80184210526316,44.84043909331871,46.36990987399599,37.95039921217145,380000.0,4336.0
390000.0,0.592702014,6.648494377483926E-10,390000.0,73.80230769230769,44.83738643360805,46.367210670810124,37.936375840556906,390000.0,4336.0
400000.0,0.6048299,6.784536064498956E-10,400000.0,73.79475,44.81559765881485,46.363092100886774,37.90924007368839,400000.0,4336.0
410000.0,0.616860405,6.919485403224828E-10,410000.0,73.80756097560976,44.842800348054354,46.36958834193139,37.934043832069534,410000.0,4336.0
420000.0,0.629103419,7.056818511295651E-10,420000.0,73.79380952380953,44.80480007378484,46.329427483335536,37.878642502779684,420000.0,4336.0
430000.0,0.641169163,7.192163135152726E-10,430000.0,73.79744186046511,44.81063165365073,46.328485616428566,37.89288588532307,430000.0,4336.0
440000.0,0.653089881,7.325880964224538E-10,440000.0,73.79136363636364,44.79770418413512,46.318528621769964,37.888539989120076,440000.0,4336.0
450000.0,0.665018298,7.459685155004264E-10,450000.0,73.79222222222222,44.80472677787092,46.32242501479224,37.90149329177112,450000.0,4336.0
460000.0,0.676919654,7.593185795429681E-10,460000.0,73.79217391304348,44.79817343659822,46.318156517867095,37.88430722938124,460000.0,4336.0
