learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.285802008,1.3328212512582539E-8,10000.0,80.82000000000001,60.184233654029484,60.14959484728859,54.081876945175964,10000.0,180264.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.376304313,1.7955747316268584E-8,20000.0,84.33500000000001,67.6137349188855,67.75090066906846,62.85273891391986,20000.0,197648.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.441451017,2.1510756963578363E-8,30000.0,86.0,71.09244022298631,71.25846848696365,66.77740863787375,30000.0,210936.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.510565602,2.632805608128508E-8,40000.0,86.8225,72.77807871718201,72.97338870942932,68.59321932908301,40000.0,269424.0,91.0,64.0,64.0,4.0,0.0,0.0,1.0
50000.0,0.561222125,3.0041454517700605E-8,50000.0,87.316,73.777630909724,73.98794142980191,69.662760105238,50000.0,283360.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
60000.0,0.624435988,3.5298506901456666E-8,60000.0,87.70666666666666,74.58383090584108,74.76651500119735,70.5419545509006,60000.0,321464.0,114.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,0.673511997,3.952282113230063E-8,70000.0,88.07857142857142,75.37486130100878,75.50846711472427,71.46423197920942,70000.0,332728.0,123.0,83.0,83.0,5.0,0.0,0.0,1.0
80000.0,0.723499649,4.419794040707251E-8,80000.0,88.3725,76.01050587683902,76.13709242964521,72.24940334128877,80000.0,361520.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
90000.0,0.789815894,5.1339665067599474E-8,90000.0,88.61,76.50722371486462,76.62417622511572,72.8385575368962,90000.0,416280.0,153.0,98.0,98.0,5.0,0.0,0.0,1.0
100000.0,0.849750603,5.84885325070719E-8,100000.0,88.832,76.96787742201411,77.04466506341082,73.37592676472691,100000.0,461064.0,176.0,111.0,111.0,5.0,0.0,0.0,1.0
110000.0,0.906524032,6.56367956553586E-8,110000.0,89.06636363636363,77.4542808203928,77.53264463581849,73.94328054249625,110000.0,486696.0,184.0,115.0,115.0,5.0,0.0,0.0,1.0
120000.0,0.963462677,7.323020472364088E-8,120000.0,89.31666666666666,77.97849062814075,78.06935012060147,74.56551067375605,120000.0,515504.0,205.0,130.0,130.0,6.0,0.0,0.0,1.0
130000.0,1.033222591,8.350295589445575E-8,130000.0,89.54846153846154,78.46581922525702,78.53351028533511,75.14770170657205,130000.0,569224.0,218.0,138.0,138.0,6.0,0.0,0.0,1.0
140000.0,1.100208251,9.410969734630033E-8,140000.0,89.77071428571428,78.9259280437126,78.98852665864608,75.67517070353635,140000.0,612072.0,229.0,145.0,145.0,6.0,0.0,0.0,1.0
