learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.064458423,7.230470839887858E-11,10000.0,72.78999999999999,42.685879949309125,43.94313967861558,35.58238636363636,10000.0,4336.0
20000.0,0.09658516,1.0834211425648795E-10,20000.0,73.195,43.59898446610194,44.992817566180996,36.586231369765784,20000.0,4336.0
30000.0,0.118735564,1.3318880500064955E-10,30000.0,73.36,43.93400364375661,45.52147239263804,37.05599747971963,30000.0,4336.0
40000.0,0.139910471,1.569412551033828E-10,40000.0,73.46000000000001,44.08546301017021,45.87263549686433,37.09037037037038,40000.0,4336.0
50000.0,0.160961109,1.805543094004194E-10,50000.0,73.60600000000001,44.40734991366184,46.34057087094414,37.5201212006439,50000.0,4336.0
60000.0,0.182272613,2.0445998395068778E-10,60000.0,73.60333333333332,44.405756336617294,46.14207501615261,37.559629410605154,60000.0,4336.0
70000.0,0.201672738,2.2622161440551282E-10,70000.0,73.63285714285715,44.41051585633467,46.15025528811088,37.48264065305016,70000.0,4336.0
80000.0,0.214711458,2.4084748956064383E-10,80000.0,73.6725,44.5025589822097,46.24298111281265,37.63103346165234,80000.0,4336.0
90000.0,0.227641903,2.5535190980053613E-10,90000.0,73.70444444444443,44.55536625079005,46.217303365679605,37.67020464062787,90000.0,4336.0
100000.0,0.242181152,2.716609678003523E-10,100000.0,73.722,44.62697617551859,46.27274585974238,37.73280887161744,100000.0,4336.0
110000.0,0.257034235,2.883220616521107E-10,110000.0,73.6909090909091,44.56978597865731,46.20917826806194,37.69778906805022,110000.0,4336.0
120000.0,0.270765912,3.0372524489959083E-10,120000.0,73.60416666666667,44.41840319333691,46.02538979296244,37.58989616377358,120000.0,4336.0
130000.0,0.284629326,3.192762010047833E-10,130000.0,73.65461538461538,44.52835355108979,46.18575491413039,37.69057235381872,130000.0,4336.0
140000.0,0.298000008,3.342744466662407E-10,140000.0,73.71785714285714,44.62674964739099,46.20692679931581,37.72425699004807,140000.0,4336.0
150000.0,0.310209252,3.4796987677613896E-10,150000.0,73.662,44.52243255176455,46.12069553358337,37.61724301279016,150000.0,4336.0
160000.0,0.322537102,3.617983503556914E-10,160000.0,73.6275,44.468125959808745,46.02849760814509,37.57803485310217,160000.0,4336.0
170000.0,0.334611244,3.753422329988745E-10,170000.0,73.64941176470589,44.516516658629776,46.12433401084826,37.632612146019554,170000.0,4336.0
180000.0,0.346590662,3.887798612399234E-10,180000.0,73.66277777777778,44.56023226066595,46.13636621862679,37.705973561798636,180000.0,4336.0
190000.0,0.359010152,4.0271112981769773E-10,190000.0,73.63526315789474,44.51200536035924,46.08148108282655,37.68132168893533,190000.0,4336.0
200000.0,0.371085523,4.162563910625047E-10,200000.0,73.6855,44.6079061495824,46.155734937540295,37.773127128263354,200000.0,4336.0
210000.0,0.383092763,4.2972522797269956E-10,210000.0,73.68285714285715,44.62257885658196,46.162313814501275,37.81253516372229,210000.0,4336.0
220000.0,0.395205877,4.433128265332845E-10,220000.0,73.70045454545455,44.665093355675054,46.136086466760375,37.85418143541491,220000.0,4336.0
230000.0,0.407173975,4.567377568326063E-10,230000.0,73.6886956521739,44.63405070808956,46.08723540731238,37.78938278712117,230000.0,4336.0
240000.0,0.419171789,4.70196020350688E-10,240000.0,73.67375,44.6096426612554,46.08176953995034,37.778324880594816,240000.0,4336.0
250000.0,0.431310126,4.838119122137626E-10,250000.0,73.67320000000001,44.628568016976175,46.11127031563434,37.839879867400825,250000.0,4336.0
260000.0,0.443301862,4.97263357879387E-10,260000.0,73.67884615384615,44.62561099078375,46.12986767634626,37.798803875588526,260000.0,4336.0
270000.0,0.455274668,5.106935692661338E-10,270000.0,73.68111111111111,44.63300622864922,46.15611929441717,37.81416269952393,270000.0,4336.0
280000.0,0.467468476,5.243716844088502E-10,280000.0,73.70214285714286,44.67179209777502,46.17122221166289,37.84586815227485,280000.0,4336.0
290000.0,0.479140738,5.374647676861949E-10,290000.0,73.7103448275862,44.68701485493991,46.20340250777948,37.838366707977286,290000.0,4336.0
300000.0,0.490807634,5.505518317802085E-10,300000.0,73.70066666666666,44.66537866484161,46.195025812039255,37.80408974096206,300000.0,4336.0
310000.0,0.502434008,5.635934412810537E-10,310000.0,73.71548387096774,44.69436830220517,46.19945593323298,37.82705235126701,310000.0,4336.0
320000.0,0.516449851,5.793153810045785E-10,320000.0,73.715,44.70851938918969,46.221668105239594,37.86970010341261,320000.0,4336.0
330000.0,0.530534584,5.951145964529779E-10,330000.0,73.72484848484848,44.726727063606845,46.225262492015155,37.879352342742514,330000.0,4336.0
340000.0,0.545093061,6.114452230061094E-10,340000.0,73.73705882352941,44.74168001673186,46.235316076901306,37.87335889069012,340000.0,4336.0
350000.0,0.559455382,6.275558162149455E-10,350000.0,73.73685714285713,44.727532975901696,46.2277340665126,37.82946575314669,350000.0,4336.0
360000.0,0.573780338,6.436244961205456E-10,360000.0,73.7136111111111,44.6771653799986,46.173360560159715,37.771421056092585,360000.0,4336.0
370000.0,0.588264601,6.59871874877976E-10,370000.0,73.72324324324325,44.6875256642999,46.17475599156281,37.76747937296369,370000.0,4336.0
380000.0,0.601130702,6.743041187607579E-10,380000.0,73.75,44.73117446326851,46.22438582588023,37.78806154460239,380000.0,4336.0
390000.0,0.613085755,6.877144161404835E-10,390000.0,73.74051282051282,44.71764297918335,46.20342597796909,37.78393385457482,390000.0,4336.0
400000.0,0.624809277,7.008649991080164E-10,400000.0,73.74000000000001,44.716820074362964,46.197344697590566,37.78578028382573,400000.0,4336.0
410000.0,0.636556033,7.140416442644265E-10,410000.0,73.7380487804878,44.71834470422983,46.20818512449543,37.79557126928832,410000.0,4336.0
420000.0,0.648177028,7.270772199994988E-10,420000.0,73.71238095238095,44.66879365541953,46.16134820940937,37.73973259348231,420000.0,4336.0
