learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.05648138,6.335664946171972E-11,10000.0,73.19,44.28496769775011,45.21863506334286,37.139507620164125,10000.0,4336.0
20000.0,0.083850755,9.405759724064006E-11,20000.0,73.64500000000001,45.07355652191548,45.999385308882296,38.0028228652082,20000.0,4336.0
30000.0,0.108758974,1.2199780160354244E-10,30000.0,73.69333333333333,45.1503819179185,46.00068422853232,38.169852710748984,30000.0,4336.0
40000.0,0.131618771,1.4764023713353608E-10,40000.0,73.9375,45.57287124274651,46.576816644460386,38.716124860384454,40000.0,4336.0
50000.0,0.158372773,1.7765090483344263E-10,50000.0,73.92999999999999,45.4558831348891,46.36243930540695,38.59525155455059,50000.0,4336.0
60000.0,0.179957596,2.0186316849456894E-10,60000.0,73.91499999999999,45.36551359233134,46.314272973621925,38.5391714117416,60000.0,4336.0
70000.0,0.19590827,2.197554590387477E-10,70000.0,73.90142857142857,45.2838188554554,46.25974408001177,38.421868680059326,70000.0,4336.0
80000.0,0.209051639,2.3449872172955014E-10,80000.0,73.83875,45.10513809310832,46.02589230451826,38.18595309823379,80000.0,4336.0
90000.0,0.222543203,2.4963256390972275E-10,90000.0,73.76222222222222,44.94108082690991,45.78100245677679,38.04051217464314,90000.0,4336.0
100000.0,0.235822646,2.645284643852049E-10,100000.0,73.725,44.838162082987985,45.67577067008497,37.91351606805292,100000.0,4336.0
110000.0,0.249161296,2.7949077890978923E-10,110000.0,73.79181818181819,44.94946192946265,45.896593788120484,37.98347889687217,110000.0,4336.0
120000.0,0.262230402,2.941507388403019E-10,120000.0,73.86833333333334,45.09478416032674,46.07672862964938,38.147461438321045,120000.0,4336.0
130000.0,0.27510595,3.085935796714492E-10,130000.0,73.90923076923077,45.14972632835273,46.15079302078207,38.1430890157387,130000.0,4336.0
140000.0,0.288225975,3.233106567834815E-10,140000.0,73.92357142857144,45.15300860598057,46.19930440933743,38.16355567600529,140000.0,4336.0
150000.0,0.300614455,3.3720714062866243E-10,150000.0,73.91666666666666,45.11632944831467,46.21179834751645,38.1325110689437,150000.0,4336.0
160000.0,0.312962756,3.510585546327962E-10,160000.0,73.866875,44.99983569205692,46.077660136956275,38.01440939278937,160000.0,4336.0
170000.0,0.325270897,3.648649201086826E-10,170000.0,73.83705882352942,44.92794469269272,46.09175201502939,37.92463363572924,170000.0,4336.0
180000.0,0.337528266,3.786143332968156E-10,180000.0,73.84611111111111,44.953496095910644,46.11272635699733,37.95534819969424,180000.0,4336.0
190000.0,0.349940205,3.9253713171929124E-10,190000.0,73.80631578947369,44.86954106304564,46.04568467384352,37.8754212957184,190000.0,4336.0
200000.0,0.362286334,4.0638610933389934E-10,200000.0,73.8075,44.86415704267011,46.0487965642605,37.87210322825495,200000.0,4336.0
210000.0,0.374599083,4.2019764372458067E-10,210000.0,73.81666666666666,44.868410501167745,46.0820364977103,37.86233317135462,210000.0,4336.0
220000.0,0.386901742,4.339978598968851E-10,220000.0,73.79181818181819,44.79510713780229,46.011592085920014,37.74980296470638,220000.0,4336.0
230000.0,0.399162755,4.4775136065565886E-10,230000.0,73.79478260869566,44.78010491092535,45.97007700375607,37.70400305939991,230000.0,4336.0
240000.0,0.411333965,4.614041270274256E-10,240000.0,73.79541666666667,44.779535276983715,45.977357064321055,37.7125652427973,240000.0,4336.0
250000.0,0.423448019,4.749927800107334E-10,250000.0,73.7888,44.76945766949179,46.00794291646754,37.72641742535114,250000.0,4336.0
260000.0,0.435396956,4.883962169124021E-10,260000.0,73.8076923076923,44.80698215503562,46.0679496317415,37.783218827656775,260000.0,4336.0
270000.0,0.447413001,5.01874930622677E-10,270000.0,73.8062962962963,44.80082004325015,46.081712625889125,37.786007723638015,270000.0,4336.0
280000.0,0.459429165,5.153537778183818E-10,280000.0,73.79928571428572,44.79480608851712,46.0724209412076,37.80087666494272,280000.0,4336.0
290000.0,0.47140257,5.287846611191829E-10,290000.0,73.82,44.823476410838175,46.15346425810477,37.82643944543169,290000.0,4336.0
300000.0,0.483407359,5.42250748678214E-10,300000.0,73.79299999999999,44.780188484925,46.10718104795591,37.81263347729106,300000.0,4336.0
310000.0,0.495501079,5.558165924789177E-10,310000.0,73.77032258064517,44.733063739143,46.06383825519383,37.76682458651279,310000.0,4336.0
320000.0,0.509930609,5.720025757907165E-10,320000.0,73.7746875,44.751147503494835,46.109487879274376,37.79897568170533,320000.0,4336.0
330000.0,0.524432441,5.882696621575289E-10,330000.0,73.75818181818182,44.701322313107255,46.107985661654894,37.72526571646364,330000.0,4336.0
340000.0,0.53883391,6.044241687075959E-10,340000.0,73.75970588235295,44.693174437427494,46.11393643622483,37.70893552846551,340000.0,4336.0
350000.0,0.553214992,6.205558066235648E-10,350000.0,73.74542857142858,44.67443170528082,46.09075709131443,37.71748486840768,350000.0,4336.0
360000.0,0.567843601,6.369651020856367E-10,360000.0,73.76416666666667,44.72436715564465,46.141169225154535,37.796203848838886,360000.0,4336.0
370000.0,0.582598055,6.535155611940556E-10,370000.0,73.78162162162162,44.74815147086487,46.16678042852147,37.81379009718198,370000.0,4336.0
380000.0,0.595322384,6.677887756956948E-10,380000.0,73.77947368421053,44.75040777127396,46.171300148026496,37.82766861557085,380000.0,4336.0
390000.0,0.607504091,6.81453316828443E-10,390000.0,73.78923076923077,44.77280683935048,46.197531513987215,37.857455500437716,390000.0,4336.0
400000.0,0.61955189,6.949676498356793E-10,400000.0,73.7935,44.77180451332628,46.180425418307465,37.84037001897533,400000.0,4336.0
410000.0,0.631548455,7.084245123176111E-10,410000.0,73.77731707317074,44.742358802993486,46.165709450155475,37.812778362620456,410000.0,4336.0
420000.0,0.643469491,7.217966519337562E-10,420000.0,73.78404761904763,44.75355862775835,46.19951333444088,37.81619387011697,420000.0,4336.0
430000.0,0.655544391,7.353413848454754E-10,430000.0,73.77348837209303,44.72770479128999,46.180974787991005,37.78020535059116,430000.0,4336.0
440000.0,0.667620218,7.488871575974756E-10,440000.0,73.79045454545454,44.75299346964203,46.1969478541203,37.79055654153428,440000.0,4336.0
450000.0,0.679598664,7.6232369552056E-10,450000.0,73.79733333333334,44.760646076427754,46.18912665489247,37.796675441419296,450000.0,4336.0
460000.0,0.691555989,7.757365414624413E-10,460000.0,73.77369565217391,44.71747724435334,46.14794016685785,37.76098227874222,460000.0,4336.0
470000.0,0.703434778,7.890612915075488E-10,470000.0,73.75170212765958,44.67771921412819,46.107237715803464,37.73148732340339,470000.0,4336.0
480000.0,0.715301224,8.023721960849232E-10,480000.0,73.74875,44.67174934788287,46.12273170397988,37.73238058528774,480000.0,4336.0
490000.0,0.727161034,8.156756568865644E-10,490000.0,73.7291836734694,44.62339978333901,46.09580121185727,37.670921134180354,490000.0,4336.0
500000.0,0.739107467,8.290762849855754E-10,500000.0,73.744,44.651325554462964,46.122971608677446,37.69606424025551,500000.0,4336.0
510000.0,0.75108065,8.425069192631377E-10,510000.0,73.7443137254902,44.65421853068473,46.16037216184375,37.708060029214465,510000.0,4336.0
520000.0,0.762970193,8.55843732352886E-10,520000.0,73.76115384615385,44.67842968716226,46.18585407603445,37.7099473619335,520000.0,4336.0
530000.0,0.774875928,8.691987084348997E-10,530000.0,73.75905660377359,44.67652296046397,46.19907699330375,37.7112836911832,530000.0,4336.0
540000.0,0.786758365,8.825275505375531E-10,540000.0,73.74388888888889,44.64774644369275,46.166463532708356,37.68848417194415,540000.0,4336.0
550000.0,0.798635497,8.958504418821799E-10,550000.0,73.75272727272727,44.67090081401589,46.18011542419136,37.7262040851541,550000.0,4336.0
560000.0,0.810343141,9.089832140795059E-10,560000.0,73.74732142857144,44.65821703217688,46.189547196468645,37.71025938699592,560000.0,4336.0
570000.0,0.822012014,9.220724958264166E-10,570000.0,73.75929824561403,44.680526699135655,46.22903672280842,37.722965208267404,570000.0,4336.0
580000.0,0.833611197,9.350836044674118E-10,580000.0,73.76362068965517,44.68762853998391,46.2262884120657,37.72518559139609,580000.0,4336.0
590000.0,0.845217105,9.481022567177812E-10,590000.0,73.77542372881356,44.717590488827305,46.247485643414734,37.758710160143856,590000.0,4336.0
600000.0,0.856798274,9.610931585811907E-10,600000.0,73.76666666666667,44.707145586302076,46.208079724136994,37.759992407826275,600000.0,4336.0
610000.0,0.868399308,9.74106343537569E-10,610000.0,73.76409836065574,44.70246286617036,46.20049550715527,37.759014965309106,610000.0,4336.0
620000.0,0.880195814,9.87338794577453E-10,620000.0,73.75629032258064,44.69198530900454,46.175119170881615,37.754254956943534,620000.0,4336.0
630000.0,0.892163171,1.0007628936775857E-9,630000.0,73.7568253968254,44.69424505331386,46.182566265962265,37.75806767358863,630000.0,4336.0
640000.0,0.903757134,1.01376814690729E-9,640000.0,73.7478125,44.677100880130666,46.15954034333251,37.7493062219571,640000.0,4336.0
650000.0,0.915876295,1.027362528546817E-9,650000.0,73.74215384615384,44.66721901882402,46.14353016165524,37.73902892788093,650000.0,4336.0
660000.0,0.927753804,1.0406858427822591E-9,660000.0,73.74272727272727,44.67058386448483,46.15549527884194,37.7501427847883,660000.0,4336.0
670000.0,0.939552691,1.0539209646524655E-9,670000.0,73.74701492537314,44.679567993298086,46.16206322387913,37.753910397055705,670000.0,4336.0
680000.0,0.951125997,1.0669030463819704E-9,680000.0,73.75852941176471,44.70239306947006,46.19536375916634,37.772616631445324,680000.0,4336.0
690000.0,0.962871459,1.0800782400245469E-9,690000.0,73.74811594202897,44.68266248172301,46.180701019410684,37.75497580822519,690000.0,4336.0
700000.0,0.974527464,1.0931530873974164E-9,700000.0,73.74714285714286,44.68378314708485,46.176848752171,37.75741071912426,700000.0,4336.0
710000.0,0.986154795,1.1061957703903318E-9,710000.0,73.74450704225353,44.6772807495986,46.164042938460085,37.750573526612655,710000.0,4336.0
720000.0,0.997871292,1.1193384732306004E-9,720000.0,73.75680555555556,44.699754106175185,46.18543781951783,37.76993936759182,720000.0,4336.0
730000.0,1.009611384,1.1325076432029406E-9,730000.0,73.7572602739726,44.701742654728285,46.19413947191772,37.77260944981128,730000.0,4336.0
740000.0,1.021327015,1.1456493746282326E-9,740000.0,73.75810810810812,44.70278973655393,46.19136024827511,37.77178179907135,740000.0,4336.0
750000.0,1.033247212,1.1590205731160111E-9,750000.0,73.76053333333333,44.71246689545512,46.19458380609971,37.79148977869378,750000.0,4336.0
760000.0,1.045542638,1.1728126758419806E-9,760000.0,73.76118421052632,44.71262019256776,46.20002158312201,37.7909008098429,760000.0,4336.0
770000.0,1.057256856,1.1859528222680093E-9,770000.0,73.75376623376624,44.69932112794218,46.196401663392066,37.78273090267624,770000.0,4336.0
780000.0,1.069055475,1.1991876435155671E-9,780000.0,73.7475641025641,44.69192258335761,46.18309977607939,37.78344266429268,780000.0,4336.0
790000.0,1.080626666,1.2121673527939454E-9,790000.0,73.7426582278481,44.68109026795932,46.163389142514546,37.776384585156904,790000.0,4336.0
800000.0,1.09237305,1.2253435806681713E-9,800000.0,73.736125,44.66487249426551,46.1543784116245,37.75503251322006,800000.0,4336.0
810000.0,1.104802713,1.2392862605676056E-9,810000.0,73.73222222222222,44.65453843579804,46.14329287585587,37.73914519310115,810000.0,4336.0
820000.0,1.116785177,1.2527273055869673E-9,820000.0,73.7229268292683,44.64234582866917,46.12728613753704,37.738711327247984,820000.0,4336.0
830000.0,1.128776365,1.2661781365465787E-9,830000.0,73.71566265060241,44.629372690288015,46.115904156653144,37.728174461586775,830000.0,4336.0
840000.0,1.141450734,1.2803953096022209E-9,840000.0,73.72178571428572,44.644000052738626,46.13503759178325,37.744629364830914,840000.0,4336.0
850000.0,1.154003711,1.2944763140587343E-9,850000.0,73.72,44.6437624769039,46.134684989908386,37.75253721527735,850000.0,4336.0
860000.0,1.16691108,1.3089548493425052E-9,860000.0,73.71546511627906,44.63498053849095,46.13375591273576,37.75227804076102,860000.0,4336.0
870000.0,1.178961613,1.3224722491494484E-9,870000.0,73.72356321839081,44.65218748993379,46.152813371523344,37.76831044386068,870000.0,4336.0
880000.0,1.190942016,1.3359109822909038E-9,880000.0,73.72568181818183,44.65371606838842,46.15830641799769,37.759700230964285,880000.0,4336.0
890000.0,1.202881983,1.3493043573076527E-9,890000.0,73.73280898876405,44.66574375560559,46.172673498944306,37.76557936966411,890000.0,4336.0
900000.0,1.215041181,1.3629436495030921E-9,900000.0,73.72688888888888,44.653427720624386,46.15724421856071,37.7532431977087,900000.0,4336.0
910000.0,1.227214222,1.376598469755716E-9,910000.0,73.72780219780219,44.65144945223059,46.15382882882882,37.741499503915286,910000.0,4336.0
920000.0,1.23936698,1.390230538033777E-9,920000.0,73.72467391304347,44.6457891026455,46.14788263311376,37.73843926913825,920000.0,4336.0
930000.0,1.251525992,1.4038696215881243E-9,930000.0,73.72903225806452,44.65052247702791,46.16118589948414,37.73176643295692,930000.0,4336.0
940000.0,1.263678309,1.4175011951848866E-9,940000.0,73.72702127659575,44.64644912646371,46.15758595805819,37.73045425205746,940000.0,4336.0
950000.0,1.275815898,1.431116247996688E-9,950000.0,73.71684210526315,44.626089924905685,46.13189046450971,37.71033271548422,950000.0,4336.0
960000.0,1.287973185,1.4447533965731661E-9,960000.0,73.71302083333333,44.61965657402871,46.13335439430841,37.70550481362626,960000.0,4336.0
970000.0,1.300207136,1.4584765411747828E-9,970000.0,73.70721649484537,44.60901214476143,46.117361221148265,37.69589126095954,970000.0,4336.0
980000.0,1.311779226,1.4714572588851057E-9,980000.0,73.70561224489795,44.60733108433189,46.11467765207753,37.6941880792396,980000.0,4336.0
990000.0,1.323559691,1.4846717163133954E-9,990000.0,73.69616161616162,44.59033649958105,46.089541609562815,37.67936972899495,990000.0,4336.0
1000000.0,1.335238002,1.4977715849131347E-9,1000000.0,73.69059999999999,44.57580997884559,46.07337140327215,37.6566321017611,1000000.0,4336.0
