learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.318221071,1.311783842779282E-8,10000.0,80.54,59.47483889374223,59.90935311083643,53.456110978234875,10000.0,159344.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
20000.0,0.440817089,1.9361006118949087E-8,20000.0,83.975,66.7759236013348,67.15178845956748,61.67643190242737,20000.0,196848.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.518472766,2.360697885716334E-8,30000.0,85.60333333333332,70.23131214733397,70.53084061135371,65.64314692546337,30000.0,211352.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.605466368,2.994555357794174E-8,40000.0,86.6525,72.44162561807488,72.56000411163078,68.12917860553964,40000.0,281648.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.667203434,3.461087015896001E-8,50000.0,87.35000000000001,73.93229748562013,74.02464065708419,69.8493660024788,50000.0,292104.0,101.0,69.0,69.0,4.0,0.0,0.0,1.0
60000.0,0.740373525,4.086975735868845E-8,60000.0,87.74833333333333,74.77609192139747,74.85031988778267,70.88482256020278,60000.0,330648.0,118.0,79.0,79.0,5.0,0.0,0.0,1.0
70000.0,0.801022298,4.6540958967113664E-8,70000.0,88.13142857142857,75.58698009604674,75.61061531235322,71.81531363435899,70000.0,361456.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.857157977,5.2198514213348846E-8,80000.0,88.53875,76.43919257855586,76.46198079786414,72.81003499199336,80000.0,389576.0,138.0,92.0,92.0,6.0,0.0,0.0,1.0
90000.0,0.926263963,5.999679661529552E-8,90000.0,88.82111111111111,77.01314760527276,77.00763288998583,73.434199408534,90000.0,436200.0,160.0,103.0,103.0,6.0,0.0,0.0,1.0
100000.0,0.985770609,6.729608779589542E-8,100000.0,89.10900000000001,77.60256107686996,77.59330123853023,74.12449512948446,100000.0,474152.0,178.0,112.0,112.0,6.0,0.0,0.0,1.0
