learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.309432258,1.1674542525038124E-8,10000.0,80.64,59.587140895425385,60.19736842105263,53.6065180924994,10000.0,145840.0,43.0,34.0,34.0,3.0,0.0,0.0,1.0
20000.0,0.44153655,1.8597946915477516E-8,20000.0,83.91999999999999,66.56875692326113,66.90677094052273,61.544900155446605,20000.0,202584.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.515955741,2.2745661982409656E-8,30000.0,85.49,69.9781823526721,70.34337103147567,65.512597052765,30000.0,215440.0,69.0,50.0,50.0,3.0,0.0,0.0,1.0
40000.0,0.598326304,2.8554583584084694E-8,40000.0,86.4975,72.10363137840771,72.46354644641583,67.90658981519996,40000.0,272600.0,93.0,65.0,65.0,4.0,0.0,0.0,1.0
50000.0,0.658088021,3.287731112428217E-8,50000.0,87.188,73.5218431724216,73.69631272070296,69.41367456073338,50000.0,279600.0,95.0,66.0,66.0,4.0,0.0,0.0,1.0
60000.0,0.731545105,3.8905645738279244E-8,60000.0,87.73333333333333,74.68543439185221,74.89596834709052,70.80755195938441,60000.0,317224.0,115.0,76.0,76.0,5.0,0.0,0.0,1.0
70000.0,0.784041188,4.339751397169506E-8,70000.0,88.06571428571428,75.38635453555031,75.5194139194139,71.63135017658244,70000.0,330752.0,119.0,78.0,78.0,5.0,0.0,0.0,1.0
80000.0,0.832343841,4.7696414095295804E-8,80000.0,88.3025,75.8965820935501,75.99404853522137,72.23474958461902,80000.0,344024.0,125.0,81.0,81.0,5.0,0.0,0.0,1.0
90000.0,0.896896824,5.427871421072839E-8,90000.0,88.51666666666667,76.3284544647966,76.43746295198576,72.68113451930955,90000.0,394152.0,155.0,96.0,96.0,5.0,0.0,0.0,1.0
100000.0,0.963341112,6.169165330145715E-8,100000.0,88.791,76.90252780186412,77.02414627147132,73.35631091038745,100000.0,431256.0,167.0,102.0,102.0,5.0,0.0,0.0,1.0
110000.0,1.013390298,6.767072180316059E-8,110000.0,89.05909090909091,77.44890613047599,77.61180147332391,73.95134409765811,110000.0,461784.0,180.0,110.0,110.0,5.0,0.0,0.0,1.0
120000.0,1.061463545,7.366963216209163E-8,120000.0,89.27833333333334,77.90180768780888,78.05897099200192,74.45397506155192,120000.0,482360.0,188.0,114.0,114.0,5.0,0.0,0.0,1.0
130000.0,1.100611724,7.884567760846887E-8,130000.0,89.48,78.32034584768384,78.45654605314976,74.93677381519628,130000.0,511080.0,199.0,121.0,121.0,5.0,0.0,0.0,1.0
140000.0,1.135403047,8.358601008605418E-8,140000.0,89.65428571428572,78.69801680326522,78.81929719374699,75.42293791254477,140000.0,526672.0,205.0,124.0,124.0,5.0,0.0,0.0,1.0
150000.0,1.16916596,8.833764238018128E-8,150000.0,89.826,79.05157083495696,79.15163934426228,75.81994486167886,150000.0,544008.0,213.0,128.0,128.0,5.0,0.0,0.0,1.0
160000.0,1.202780938,9.327841651171031E-8,160000.0,89.9825,79.37941581584921,79.47943206114688,76.20687607624251,160000.0,568152.0,225.0,134.0,134.0,6.0,0.0,0.0,1.0
170000.0,1.239457532,9.892264146141293E-8,170000.0,90.12823529411764,79.67511136207557,79.75095924129441,76.51684764356878,170000.0,594864.0,238.0,142.0,142.0,6.0,0.0,0.0,1.0
