learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.274233088,1.1300007465150622E-8,10000.0,79.85,58.269726594017754,59.25176946410515,52.59938837920489,10000.0,159280.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
20000.0,0.369577997,1.6268290788104965E-8,20000.0,83.245,65.29607532684138,65.77469104279442,60.31501657982,20000.0,201424.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.433878384,1.9979659869283852E-8,30000.0,85.13666666666667,69.25814237293572,69.53610712577715,64.65879369105177,30000.0,223112.0,73.0,52.0,52.0,4.0,0.0,0.0,1.0
40000.0,0.506995061,2.5141125606410207E-8,40000.0,86.2325,71.53283411287637,71.67181069958848,67.11257091669155,40000.0,272872.0,93.0,65.0,65.0,4.0,0.0,0.0,1.0
50000.0,0.558645312,2.9047627317642586E-8,50000.0,86.906,72.96988833174281,73.07201908444043,68.84457980394025,50000.0,292360.0,101.0,69.0,69.0,4.0,0.0,0.0,1.0
60000.0,0.610833658,3.323115151402644E-8,60000.0,87.44166666666666,74.09065773418452,74.18105811403508,70.10276554378446,60000.0,309864.0,109.0,73.0,73.0,5.0,0.0,0.0,1.0
70000.0,0.661244884,3.7614425015261186E-8,70000.0,87.85714285714286,74.96471621774971,75.0323111267771,71.09138523279938,70000.0,336104.0,122.0,81.0,81.0,5.0,0.0,0.0,1.0
80000.0,0.706634469,4.1989894555258665E-8,80000.0,88.1675,75.62015465382969,75.65704880934013,71.82570391094708,80000.0,372624.0,135.0,89.0,89.0,5.0,0.0,0.0,1.0
90000.0,0.764834559,4.850714975725652E-8,90000.0,88.42999999999999,76.18124436627224,76.24555160142347,72.5221659278024,90000.0,432856.0,165.0,104.0,104.0,5.0,0.0,0.0,1.0
100000.0,0.805001622,5.3517310726510146E-8,100000.0,88.754,76.85771710607354,76.9293890780782,73.31529992406985,100000.0,482152.0,184.0,115.0,115.0,5.0,0.0,0.0,1.0
110000.0,0.836609337,5.754756016227519E-8,110000.0,88.97727272727273,77.3196712286205,77.42127707119049,73.85613868644616,110000.0,492880.0,188.0,117.0,117.0,5.0,0.0,0.0,1.0
120000.0,0.874438331,6.253783503027011E-8,120000.0,89.24583333333334,77.867571808719,77.97405700631508,74.47385077933382,120000.0,509920.0,194.0,120.0,120.0,5.0,0.0,0.0,1.0
130000.0,0.912265112,6.761346342215934E-8,130000.0,89.46923076923076,78.32279773272333,78.41136675445098,74.98583931736374,130000.0,518672.0,198.0,122.0,122.0,5.0,0.0,0.0,1.0
140000.0,0.955272821,7.36279796113322E-8,140000.0,89.68785714285714,78.77232543409984,78.84936564212254,75.49894779716244,140000.0,540576.0,210.0,128.0,128.0,5.0,0.0,0.0,1.0
150000.0,0.988591515,7.849389924874321E-8,150000.0,89.85666666666667,79.1202771785112,79.19145502536959,75.89626602030954,150000.0,564520.0,220.0,133.0,133.0,5.0,0.0,0.0,1.0
160000.0,1.023468915,8.392534112950579E-8,160000.0,90.04062499999999,79.50693925403498,79.56239018071284,76.35826830064389,160000.0,601968.0,234.0,143.0,143.0,5.0,0.0,0.0,1.0
170000.0,1.055865428,8.916567939013242E-8,170000.0,90.21470588235294,79.87006695146756,79.92202964321923,76.78005611311958,170000.0,625264.0,245.0,150.0,150.0,6.0,0.0,0.0,1.0
180000.0,1.094985577,9.589899091989008E-8,180000.0,90.36888888888889,80.19484506249796,80.24725118213411,77.16874530824037,180000.0,665320.0,258.0,158.0,158.0,6.0,0.0,0.0,1.0
