learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.265430919,1.1121883959559101E-8,10000.0,81.93,63.0713880138922,63.03947637553693,58.48839880542156,10000.0,161968.0,48.0,38.0,38.0,3.0,0.0,0.0,1.0
20000.0,0.362645888,1.6205117474535686E-8,20000.0,84.935,69.15572809147645,69.64843356502469,65.1192405649456,20000.0,202120.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.432182037,2.0318422028954246E-8,30000.0,86.35666666666667,72.03052001228936,72.38191632928476,68.11560333411234,30000.0,228656.0,81.0,59.0,59.0,4.0,0.0,0.0,1.0
40000.0,0.502537149,2.5680558017328797E-8,40000.0,87.03999999999999,73.40176188442975,73.70796774357153,69.47356024025437,40000.0,294608.0,103.0,70.0,70.0,4.0,0.0,0.0,1.0
50000.0,0.555832164,2.9934485311711004E-8,50000.0,87.618,74.5690927263113,74.85684116476465,70.69349112426035,50000.0,308536.0,109.0,73.0,73.0,4.0,0.0,0.0,1.0
60000.0,0.608241202,3.423201847654251E-8,60000.0,88.09166666666667,75.54643618826266,75.8018085142412,71.81125971515368,60000.0,316968.0,115.0,76.0,76.0,5.0,0.0,0.0,1.0
70000.0,0.661849087,3.919890207729407E-8,70000.0,88.42428571428572,76.23279847060854,76.43380642159143,72.59537337662337,70000.0,358144.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
80000.0,0.705395349,4.3362071331383463E-8,80000.0,88.7275,76.8594736218332,77.03122612194998,73.3242619653316,80000.0,369552.0,131.0,87.0,87.0,5.0,0.0,0.0,1.0
90000.0,0.762293775,4.95012308259474E-8,90000.0,89.03111111111112,77.50088907041874,77.60689576953614,74.10758779867287,90000.0,417072.0,153.0,98.0,98.0,5.0,0.0,0.0,1.0
100000.0,0.822121403,5.700259372572933E-8,100000.0,89.25,77.96351381058363,78.07285929914738,74.69576065720405,100000.0,484664.0,179.0,114.0,114.0,5.0,0.0,0.0,1.0
110000.0,0.868677964,6.31119980138913E-8,110000.0,89.51181818181819,78.5065161010659,78.57527530687663,75.34302201325069,110000.0,507248.0,189.0,119.0,119.0,5.0,0.0,0.0,1.0
120000.0,0.92089496,7.027002938449799E-8,120000.0,89.72833333333334,78.94785383737106,79.01385909354038,75.84416093440727,120000.0,529888.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
130000.0,0.970876344,7.726951940083257E-8,130000.0,89.94153846153846,79.37766335428138,79.42957824028191,76.32103147296367,130000.0,541328.0,207.0,128.0,128.0,5.0,0.0,0.0,1.0
